user_id,posted,sentiment_analysis
Nozomikat,2015-12-26,negativo
Nozomikat,2015-04-14,positivo
Nozomikat,2014-12-30,positivo
Nozomikat,2013-12-04,positivo
Nozomikat,Posted August 19.,negativo
Nozomikat,2013-12-04,negativo
xfluttersx,2015-11-10,positivo
xfluttersx,Posted September 14.,positivo
xfluttersx,2012-08-27,positivo
xfluttersx,2014-02-05,positivo
xfluttersx,2013-01-27,positivo
xfluttersx,2015-08-25,positivo
xfluttersx,2012-08-27,positivo
76561198056290589,2014-12-16,positivo
ii_voltage_ii,2014-06-29,negativo
ii_voltage_ii,2015-04-11,positivo
ii_voltage_ii,2014-03-08,positivo
ii_voltage_ii,2013-11-16,positivo
76561198097762318,2015-11-11,neutral
76561198097762318,2014-12-26,negativo
Hirukaz,2013-01-17,negativo
StelerForYou,2015-07-17,positivo
StelerForYou,2013-12-29,positivo
76561198183396245,2015-05-06,positivo
Xx-Woods,Posted July 20.,neutral
Xx-Woods,2015-01-26,positivo
Xx-Woods,2014-11-16,positivo
Xx-Woods,2014-08-17,positivo
Xx-Woods,2014-07-21,neutral
Xx-Woods,2014-07-19,neutral
Xx-Woods,2014-02-08,positivo
Xx-Woods,2014-01-07,positivo
kevinator23,2015-07-06,negativo
kevinator23,2015-09-06,positivo
kevinator23,2014-04-24,negativo
kevinator23,2015-07-06,negativo
kevinator23,2015-01-27,positivo
kevinator23,2015-01-25,positivo
kevinator23,2014-05-24,positivo
kevinator23,2012-10-20,positivo
76561198090715178,2014-03-28,positivo
76561198090715178,2014-07-09,positivo
CatsWhale,2015-02-23,negativo
CatsWhale,2015-08-29,positivo
CatsWhale,2014-11-23,negativo
CatsWhale,2014-09-09,neutral
76561198073784601,2015-03-26,positivo
76561198073784601,Posted July 8.,negativo
mimimomoma,2015-11-23,negativo
76561198102410011,2015-09-14,neutral
de_Butl3r,2014-10-13,negativo
76561198027947401,Posted July 23.,positivo
76561198027947401,Posted February 20.,positivo
Bluezap1,2015-12-27,positivo
Bluezap1,2015-05-13,positivo
Bluezap1,2015-12-27,positivo
Bluezap1,2015-12-21,neutral
76561198074200011,2015-11-15,positivo
jonasdbomb,Posted September 9.,positivo
L1J1N,2014-06-13,positivo
Lord_Exploit,2015-03-13,positivo
Lord_Exploit,2015-01-07,positivo
AVATAR715,2014-01-02,negativo
AVATAR715,2015-11-18,positivo
AVATAR715,2014-06-01,negativo
AVATAR715,2014-03-18,negativo
AVATAR715,2014-02-16,negativo
AVATAR715,2015-02-25,positivo
AVATAR715,2015-08-15,positivo
AVATAR715,2014-12-25,negativo
YieuwMage,Posted February 22.,positivo
76561198078752187,2014-12-16,negativo
A-Very-Sly-Person,2015-08-14,neutral
A-Very-Sly-Person,2014-11-11,neutral
76561198211054671,Posted May 29.,negativo
76561198211054671,Posted July 3.,negativo
76561197994493402,Posted June 20.,negativo
76561197994493402,2015-03-01,positivo
76561197994493402,2014-11-27,positivo
Koolcaz12,Posted May 17.,positivo
76561198065656175,2015-11-20,positivo
76561198188979775,Posted September 17.,positivo
97396295,2014-08-23,positivo
97396295,2014-06-17,positivo
97396295,2014-07-10,positivo
97396295,Posted August 26.,neutral
76561198126640317,2015-06-15,positivo
76561198126640317,2015-02-14,positivo
76561198126640317,2015-09-12,positivo
76561198126640317,2015-09-12,positivo
76561198126640317,2015-07-01,positivo
76561198126640317,2015-07-01,negativo
76561198126640317,2015-06-15,positivo
DemonicWolvz,2015-01-15,positivo
DemonicWolvz,2015-04-29,positivo
DemonicWolvz,2015-03-29,negativo
DemonicWolvz,2014-11-23,positivo
DemonicWolvz,2014-02-12,negativo
DemonicWolvz,2013-12-26,positivo
DieMadchenschanderin,2015-08-29,positivo
DieMadchenschanderin,2015-10-05,negativo
DieMadchenschanderin,Posted June 29.,positivo
DieMadchenschanderin,2013-06-14,negativo
GGargula,Posted September 4.,neutral
GGargula,2015-11-23,neutral
Myther43,Posted July 16.,positivo
getf0kinn0sc0pedm9,2015-05-31,negativo
getf0kinn0sc0pedm9,Posted June 26.,negativo
76561198141443390,2015-05-03,positivo
76561198097333029,Posted June 14.,negativo
whodafuqisthisguilao,2015-08-06,positivo
Magjiikal,2015-10-05,positivo
Magjiikal,2015-12-17,positivo
ohnospaghet,2014-12-17,positivo
ohnospaghet,2014-09-30,positivo
ohnospaghet,2015-03-10,positivo
ohnospaghet,Posted January 16.,negativo
ohnospaghet,Posted March 5.,negativo
ohnospaghet,2015-03-10,positivo
76561198050347115,Posted March 19.,positivo
2768820078,2015-09-01,neutral
2768820078,Posted April 19.,neutral
2768820078,Posted April 18.,neutral
2768820078,2015-11-18,neutral
2768820078,2015-08-08,neutral
2768820078,2015-07-15,neutral
2768820078,2015-06-12,neutral
2768820078,2015-05-19,neutral
2768820078,2015-05-11,neutral
2768820078,2015-05-02,neutral
76561198056392326,Posted February 7.,neutral
76561198056392326,Posted January 30.,neutral
76561198056392326,Posted January 30.,neutral
2d4nk4m3,2014-08-20,negativo
2d4nk4m3,2014-03-18,positivo
76561198078478151,Posted April 10.,neutral
exiaez,Posted September 15.,neutral
76561198095921854,2015-05-01,positivo
EizanAratoFujimaki,2015-10-28,negativo
EizanAratoFujimaki,Posted April 15.,neutral
TeCool,2014-12-15,positivo
TeCool,2014-12-06,positivo
TeCool,2015-04-11,positivo
TeCool,2015-01-31,negativo
2xDelorean,2015-09-13,neutral
2xDelorean,2013-07-26,positivo
2xDelorean,2013-05-18,positivo
2xDelorean,2011-10-30,positivo
washington_,Posted August 19.,negativo
washington_,Posted August 19.,positivo
washington_,Posted August 19.,neutral
washington_,Posted August 19.,neutral
washington_,Posted August 19.,neutral
washington_,2015-12-13,neutral
jewxxl,2015-05-18,positivo
76561198088944293,Posted June 22.,neutral
76561198088944293,Posted July 14.,positivo
76561198088944293,Posted June 27.,neutral
76561198088944293,Posted March 8.,neutral
76561198088944293,2014-12-13,neutral
76561198092540221,2015-07-31,positivo
76561198092540221,2015-06-29,positivo
76561198092540221,2015-06-29,positivo
76561198092540221,2015-02-12,positivo
76561198092540221,2014-03-29,positivo
76561198051258119,2015-02-04,positivo
nubquake123,2014-04-21,positivo
Pyromanic,2013-02-15,positivo
Pyromanic,2013-02-15,positivo
Pyromanic,2013-02-15,positivo
76561198109656922,Posted March 27.,positivo
CobRazor,2015-08-01,negativo
relesprit,2013-12-27,positivo
WitchHunter4542,2014-07-16,positivo
WitchHunter4542,2015-01-13,negativo
WitchHunter4542,2014-01-11,positivo
pwrt,2015-09-03,positivo
pwrt,2014-01-20,positivo
wantmahbody,2014-05-03,positivo
76561198115868847,Posted May 1.,negativo
benedictcuminherbatch,2014-08-02,positivo
76561198031207016,2014-03-17,positivo
76561198043458582,2015-07-19,negativo
76561198043458582,2015-05-26,positivo
76561198043458582,2015-11-22,positivo
76561198043458582,2014-10-18,neutral
smashiroshh,2014-12-30,positivo
shark854,Posted March 7.,positivo
killbunny38,2015-01-22,positivo
killbunny38,2015-08-20,negativo
76561198047630659,2015-05-14,positivo
1337lolroflmao,2015-04-13,neutral
1337lolroflmao,2014-10-01,positivo
1337lolroflmao,2013-12-28,positivo
1337lolroflmao,2013-12-28,positivo
1337lolroflmao,2014-11-30,negativo
1337lolroflmao,2013-12-28,positivo
1337lolroflmao,2013-12-28,positivo
1337lolroflmao,2015-01-05,positivo
1337lolroflmao,2014-12-23,negativo
sithjjf,2015-09-01,negativo
76561198060039459,2014-10-04,neutral
OzfurAtlas,Posted January 10.,neutral
OzfurAtlas,Posted September 12.,neutral
OzfurAtlas,2013-12-08,negativo
76561198065593074,2015-11-06,negativo
76561198065593074,Posted June 25.,negativo
76561198065593074,2015-09-23,positivo
76561198065593074,2014-05-31,negativo
76561198044169764,2015-06-24,neutral
76561198044169764,2015-07-22,positivo
76561198044169764,Posted March 20.,negativo
76561198044169764,2015-06-03,neutral
euzi,2014-07-26,positivo
76561198074935997,Posted May 15.,negativo
76561198074935997,Posted May 13.,neutral
76561198074935997,Posted July 10.,positivo
76561198074935997,Posted September 17.,positivo
76561198074935997,Posted August 16.,negativo
76561198074935997,Posted July 31.,negativo
76561198074935997,Posted June 29.,positivo
76561198074935997,Posted March 6.,positivo
76561197961778802,2014-04-23,positivo
lucasrash,Posted September 8.,neutral
76561198016602703,Posted September 2.,negativo
76561198016602703,Posted July 23.,positivo
thisissohardtomakeoneup,2014-04-12,neutral
76561198087010391,2015-04-04,positivo
66666669999999,2015-01-05,neutral
76561198061174192,2014-09-14,positivo
76561198061174192,2014-09-14,positivo
ReMiXOfficalSteam,2015-10-12,positivo
Wilfire77,2015-03-22,positivo
76561198084390807,2015-12-01,neutral
76561198084390807,2014-05-10,positivo
Mastic,2015-08-01,negativo
Mastic,Posted June 29.,negativo
Mastic,Posted March 25.,positivo
Mastic,2014-12-30,positivo
Mastic,2014-12-27,positivo
Mastic,Posted July 7.,negativo
76561198028286104,2013-12-26,positivo
tarjla,Posted August 26.,positivo
tarjla,2014-07-13,positivo
tarjla,Posted August 26.,positivo
tarjla,2015-01-28,negativo
tarjla,2014-05-08,positivo
tarjla,2013-11-21,positivo
tarjla,2013-12-07,negativo
tarjla,2013-02-09,positivo
tarjla,Posted August 26.,positivo
tarjla,2014-01-09,positivo
deathnz1,Posted July 18.,negativo
deathnz1,Posted July 16.,positivo
deathnz1,2014-12-26,positivo
readingthis4noobs,Posted May 14.,positivo
76561198104393251,2015-03-13,neutral
76561198075322986,Posted March 30.,neutral
redsncrimson,Posted June 18.,positivo
redsncrimson,Posted March 20.,positivo
redsncrimson,Posted March 20.,positivo
redsncrimson,2014-12-23,positivo
redsncrimson,2013-12-26,positivo
redsncrimson,Posted March 20.,positivo
redsncrimson,2013-05-18,positivo
redsncrimson,2013-01-09,negativo
redsncrimson,2012-11-30,positivo
76561198151910904,Posted April 22.,positivo
H1DD3NT3RR0R,2014-03-10,positivo
H1DD3NT3RR0R,2014-02-27,negativo
H1DD3NT3RR0R,2013-11-25,positivo
H1DD3NT3RR0R,2014-06-11,negativo
H1DD3NT3RR0R,2015-09-04,negativo
H1DD3NT3RR0R,2014-06-18,negativo
76561198071214618,2015-05-11,positivo
76561198115115631,2015-05-22,positivo
76561198071175142,2015-08-10,positivo
76561198071175142,2015-07-07,positivo
t8s,2015-05-13,negativo
t8s,2015-05-02,positivo
pikawuu2,Posted March 12.,negativo
pikawuu2,2013-09-15,positivo
Sammeh00,2014-11-04,positivo
Michaelele,2014-08-07,negativo
Michaelele,2014-06-30,positivo
Michaelele,2014-08-21,negativo
Michaelele,2014-07-16,positivo
76561198045754869,2015-08-07,negativo
76561198076098774,2015-08-02,positivo
76561198103253374,2014-02-24,negativo
76561198048417105,2015-12-28,positivo
76561198048417105,2015-02-27,positivo
76561198048417105,Posted August 13.,positivo
76561198048417105,Posted February 14.,positivo
76561198090842891,2015-01-16,positivo
76561198055767971,2015-06-10,negativo
76561197998052647,2014-11-27,negativo
adohya343,Posted February 24.,neutral
76561198145436942,2014-08-02,positivo
jjas01,2014-11-03,negativo
jjas01,2015-10-17,positivo
jjas01,2013-10-08,positivo
jjas01,2015-12-28,positivo
jjas01,2014-05-08,positivo
jjas01,2014-02-18,positivo
jjas01,2013-10-27,positivo
jjas01,2014-06-04,positivo
jjas01,Posted July 9.,negativo
jjas01,Posted March 2.,positivo
3xotic26,2014-02-26,positivo
3xotic26,2014-02-26,positivo
3xotic26,2014-02-26,positivo
3xotic26,2013-07-15,positivo
iamthetrashlord,2015-06-16,neutral
iamthetrashlord,2014-07-20,positivo
3dster,2015-08-24,positivo
76561198079990063,2014-03-14,positivo
Forty-Nine,2014-08-28,negativo
Forty-Nine,Posted January 11.,positivo
76561198051017916,2015-05-30,neutral
76561198051017916,2014-05-26,neutral
L4M1NAS,Posted August 15.,positivo
L4M1NAS,Posted March 25.,positivo
L4M1NAS,2015-03-05,positivo
76561198096766604,Posted July 16.,negativo
76561197995322437,2015-07-23,positivo
imsojipper,2014-07-07,positivo
76561198084542731,2015-01-16,neutral
76561198084542731,2014-02-16,positivo
76561198103671881,2015-04-11,positivo
mrpfresh,Posted August 22.,negativo
mrpfresh,2015-10-16,negativo
mrpfresh,Posted January 9.,neutral
GamerFag,2012-07-15,positivo
GamerFag,2011-01-27,negativo
GamerFag,2011-01-27,positivo
GamerFag,2011-01-27,positivo
GamerFag,2011-01-27,positivo
GamerFag,2010-12-16,positivo
EHS-R3AP3R,2015-09-09,positivo
EHS-R3AP3R,2015-10-15,positivo
EHS-R3AP3R,2013-11-26,positivo
EHS-R3AP3R,2013-12-12,positivo
chidori_647,2013-12-15,negativo
chidori_647,2014-03-05,neutral
chidori_647,2013-11-30,negativo
chidori_647,2013-12-02,negativo
chidori_647,2013-11-28,negativo
76561198092227136,2014-09-11,positivo
76561198092227136,2014-05-26,neutral
hellcat59,2014-07-18,positivo
76561198007584361,2015-09-10,positivo
tbimperator,2012-05-22,positivo
Allahu_Akbar666,2015-01-17,positivo
Allahu_Akbar666,2014-10-24,negativo
ulramite,2014-10-27,negativo
ulramite,2014-02-08,positivo
ulramite,Posted July 24.,positivo
-GM-Dragon,2014-03-08,negativo
-GM-Dragon,2015-06-10,positivo
76561198054040292,2015-03-13,negativo
76561198078799606,2015-10-01,negativo
76561198078799606,2015-06-29,positivo
76561198078799606,2014-05-02,positivo
I_DID_911_JUST_SAYING,Posted June 27.,positivo
I_DID_911_JUST_SAYING,Posted June 26.,neutral
I_DID_911_JUST_SAYING,Posted June 26.,positivo
I_DID_911_JUST_SAYING,Posted June 26.,positivo
I_DID_911_JUST_SAYING,2013-05-06,negativo
750805,Posted March 24.,positivo
750805,Posted May 6.,negativo
diabeticfuck,2015-08-31,negativo
diabeticfuck,2015-12-28,neutral
diabeticfuck,2015-11-23,positivo
diabeticfuck,2015-09-04,neutral
76561198054465623,2015-01-10,negativo
76561198054465623,2014-01-04,positivo
76561198054465623,2015-04-24,neutral
76561198054465623,2014-02-21,negativo
76561198054465623,2015-07-13,positivo
76561198054465623,2014-04-03,positivo
aaropro,2014-08-29,positivo
aaropro,Posted June 8.,positivo
abiam,2014-11-16,neutral
FrankoWalker,2015-01-04,positivo
FrankoWalker,2014-12-06,neutral
FrankoWalker,2014-05-16,negativo
LightfootSword7,2015-11-26,negativo
LightfootSword7,Posted March 6.,positivo
SALTTHEW0UND,2015-06-12,neutral
SALTTHEW0UND,2014-08-28,positivo
SALTTHEW0UND,2014-05-20,positivo
SALTTHEW0UND,2014-03-25,positivo
SALTTHEW0UND,2013-12-02,positivo
SALTTHEW0UND,2015-11-15,positivo
express157,2014-09-02,positivo
76561198074644990,2015-02-05,neutral
76561198074644990,2015-02-06,positivo
76561198074644990,2013-12-24,negativo
76561198064304806,2015-12-11,negativo
TomoeMamiewe,2014-02-16,neutral
TomoeMamiewe,Posted June 24.,neutral
76561198057086148,2015-01-17,negativo
Acidius99,2014-06-21,positivo
Acidius99,Posted June 3.,positivo
Acidius99,Posted June 24.,positivo
Acidius99,2014-12-30,positivo
Acidius99,2015-07-09,negativo
acorn13,2014-07-31,negativo
acorn13,2012-07-12,positivo
acorn13,2015-05-01,positivo
adamcookie,Posted August 14.,positivo
AddzyTheBaddzy,2015-02-02,positivo
AddzyTheBaddzy,2013-12-16,positivo
mrfunkyjunkie,2014-01-05,negativo
mrfunkyjunkie,2014-11-23,positivo
mrfunkyjunkie,2015-03-11,positivo
mradobe7,Posted August 28.,negativo
76561198167207237,Posted January 10.,neutral
76561198167207237,2015-12-25,negativo
76561198167207237,2015-11-29,neutral
76561198167207237,2015-11-06,positivo
cancerkek,2015-02-27,neutral
76561198073508075,2014-04-13,positivo
76561198073508075,Posted January 22.,negativo
76561198073508075,2014-06-07,negativo
76561198074323290,Posted April 12.,positivo
76561198074323290,Posted August 21.,neutral
76561198090899557,Posted July 28.,negativo
advenger95,2015-06-05,positivo
advenger95,2015-09-02,positivo
advenger95,2015-06-05,positivo
EndAtHallow,2015-01-15,positivo
76561198063624801,2014-01-12,negativo
aeryal,2014-05-03,positivo
76561198070263209,2013-12-13,neutral
76561198015968275,2015-09-06,negativo
Agiegamma,2014-02-12,positivo
76561198082614708,2014-04-28,positivo
Agronoth,2014-02-09,positivo
Agronoth,2015-04-24,positivo
Agronoth,2015-03-21,positivo
Agronoth,2015-02-28,positivo
Agronoth,2015-07-15,positivo
UnholyFallenAngel,2014-10-07,positivo
UnholyFallenAngel,2015-12-22,positivo
UnholyFallenAngel,2014-05-06,neutral
76561198068565589,2014-02-22,neutral
76561198068565589,2015-07-18,negativo
76561198068565589,2014-10-24,positivo
SlutOnTheSpit,2014-01-02,positivo
WestyGaming,2014-06-07,neutral
NaruseAiria,2014-10-28,positivo
NaruseAiria,2014-10-15,negativo
NaruseAiria,2013-12-20,positivo
NaruseAiria,2013-12-06,positivo
76561198067713802,2015-09-27,positivo
76561198067713802,2015-03-28,positivo
76561198187212131,Posted July 8.,positivo
76561198044678148,Posted July 29.,neutral
76561198044678148,Posted July 5.,positivo
Alex680,2014-04-25,positivo
alansiulun,2014-11-01,positivo
alansiulun,2015-05-21,positivo
Albolah,2015-12-29,positivo
Albolah,2015-10-18,positivo
Albolah,2015-12-30,positivo
76561198003056556,Posted January 9.,negativo
76561198003056556,2014-08-15,neutral
maxpaynepillkiller,Posted July 16.,negativo
maxpaynepillkiller,2015-12-30,positivo
maxpaynepillkiller,Posted July 24.,neutral
maxpaynepillkiller,Posted May 30.,positivo
maxpaynepillkiller,2015-10-07,positivo
maxpaynepillkiller,Posted January 1.,negativo
AlexNoClutch,2015-06-05,negativo
Alexwai04,2015-01-09,neutral
76561198095481910,2014-02-01,negativo
76561198164545985,Posted May 12.,positivo
AlkalineDeath,2015-03-02,positivo
AlkalineDeath,2014-10-16,positivo
76561198075935236,2015-01-26,negativo
76561198075935236,2015-08-27,positivo
mintifreshbadger,2015-11-09,neutral
AlpacaRevolution,Posted July 7.,positivo
AlpacaRevolution,2014-10-02,positivo
AlpacaRevolution,2015-09-13,positivo
AlphaBryn444,Posted August 28.,negativo
76561198071952798,Posted July 7.,positivo
76561198071952798,Posted January 14.,negativo
76561198071952798,Posted May 23.,neutral
76561198071952798,2013-11-29,positivo
76561198009001563,2014-09-03,neutral
76561198016753953,2014-03-21,positivo
76561198016753953,2014-01-27,neutral
smegmyfoodle,2015-02-03,positivo
smegmyfoodle,2015-01-22,negativo
76561198057869849,2015-06-01,positivo
76561198058836921,2015-01-17,positivo
lol_ursuchanoob,2014-08-08,negativo
lol_ursuchanoob,2014-04-17,negativo
lol_ursuchanoob,2014-03-12,positivo
lol_ursuchanoob,2014-01-23,positivo
AMV72,2013-01-21,positivo
AMV72,2012-09-27,negativo
AMV72,2013-11-25,positivo
AMV72,2013-11-25,positivo
AMV72,2012-07-19,positivo
76561198069170979,2015-06-26,positivo
76561198085956238,Posted February 3.,negativo
76561198085956238,Posted February 3.,negativo
76561198085956238,Posted February 18.,positivo
76561198085956238,Posted February 13.,negativo
76561198132540690,2015-05-26,negativo
76561198132540690,2015-03-05,neutral
711armageddoncarmageddon,2015-07-04,neutral
711armageddoncarmageddon,2015-07-03,positivo
711armageddoncarmageddon,2015-07-03,positivo
76561198034868596,Posted June 17.,positivo
Andraison,2015-07-31,negativo
76561198055790408,2013-12-06,positivo
76561198069560699,2013-12-30,positivo
76561198069560699,2013-12-16,positivo
76561198069560699,2013-11-28,negativo
76561198069560699,2014-03-26,positivo
76561198099625419,2014-05-08,neutral
76561198099625419,2014-05-08,neutral
76561198099625419,2013-12-22,positivo
76561198099625419,2013-12-20,neutral
76561198099625419,2013-11-28,neutral
76561198084032274,2014-10-29,negativo
76561198084032274,2014-09-29,positivo
Angrovar,2014-08-16,positivo
Angrovar,2015-11-11,neutral
AngryAinsley,2015-08-01,positivo
AngryAinsley,2015-08-01,positivo
AngryAinsley,2015-07-24,positivo
AngryAinsley,2015-04-07,positivo
uradumbtit,2014-05-29,neutral
uradumbtit,2014-08-04,positivo
76561198037038784,Posted September 12.,positivo
IKillNoobsFirst,2015-03-27,positivo
76561198037888300,2015-09-12,positivo
1234865654,2014-06-29,positivo
76561198040925596,Posted July 18.,positivo
76561198084123358,2015-02-07,positivo
Apachehavoc,2014-10-31,neutral
ApexNZ,2014-02-03,positivo
ApexNZ,2014-05-09,positivo
ApexNZ,2014-02-09,neutral
ApexNZ,2014-08-19,positivo
ApexNZ,2015-02-28,positivo
76561198039441595,2014-06-09,neutral
76561198039441595,2015-01-23,positivo
76561198039441595,2014-06-20,neutral
76561198039441595,2014-05-31,negativo
76561198039441595,2014-05-07,neutral
76561198039441595,2015-11-20,neutral
76561198039441595,2015-05-06,positivo
76561198039441595,2014-11-18,negativo
76561198039441595,2014-05-31,negativo
76561198036687918,2015-12-20,neutral
benjamin27,2015-11-20,neutral
benjamin27,2014-07-19,positivo
AppoGetsSuperAdmin,2015-06-26,neutral
AppoGetsSuperAdmin,2015-08-29,negativo
AppoGetsSuperAdmin,2015-08-08,neutral
76561198071475367,Posted January 11.,positivo
76561198049916759,2015-07-02,positivo
76561198049916759,2015-09-11,positivo
76561198065064829,Posted May 13.,positivo
XABLAUziitu,2015-12-22,positivo
XABLAUziitu,2015-10-17,neutral
XABLAUziitu,2013-02-15,neutral
XABLAUziitu,2013-01-24,neutral
76561198012909706,2013-12-07,positivo
dragonchief,2014-01-10,positivo
76561198040530605,Posted May 23.,positivo
